match_id,date,season,matchday,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,result
77446,2026-02-14T14:30:00Z,2025,22,6,Bayer 04 Leverkusen,98,FC St. Pauli,4,0,0
77447,2026-02-14T14:30:00Z,2025,22,91,Eintracht Frankfurt,87,Borussia Mönchengladbach,3,0,0
77450,2026-02-14T14:30:00Z,2025,22,134,SV Werder Bremen,40,FC Bayern München,0,3,2
77453,2026-02-14T14:30:00Z,2025,22,175,TSG Hoffenheim,112,SC Freiburg,3,0,0
77454,2026-02-14T14:30:00Z,2025,22,100,Hamburger SV,80,1. FC Union Berlin,3,2,0
77451,2026-02-14T17:30:00Z,2025,22,16,VfB Stuttgart,65,1. FC Köln,3,1,0
77452,2026-02-15T14:30:00Z,2025,22,95,FC Augsburg,199,1. FC Heidenheim 1846,1,0,0
77449,2026-02-15T16:30:00Z,2025,22,1635,RB Leipzig,131,VfL Wolfsburg,2,2,1
77457,2026-02-20T19:30:00Z,2025,23,81,1. FSV Mainz 05,100,Hamburger SV,1,1,1
77455,2026-02-21T14:30:00Z,2025,23,40,FC Bayern München,91,Eintracht Frankfurt,3,2,0
77459,2026-02-21T14:30:00Z,2025,23,131,VfL Wolfsburg,95,FC Augsburg,2,3,2
77460,2026-02-21T14:30:00Z,2025,23,80,1. FC Union Berlin,6,Bayer 04 Leverkusen,1,0,0
77463,2026-02-21T14:30:00Z,2025,23,65,1. FC Köln,175,TSG Hoffenheim,2,2,1
77458,2026-02-21T17:30:00Z,2025,23,1635,RB Leipzig,7,Borussia Dortmund,2,2,1
77456,2026-02-22T14:30:00Z,2025,23,112,SC Freiburg,87,Borussia Mönchengladbach,2,1,0
77461,2026-02-22T16:30:00Z,2025,23,98,FC St. Pauli,134,SV Werder Bremen,2,1,0
77462,2026-02-22T18:30:00Z,2025,23,199,1. FC Heidenheim 1846,16,VfB Stuttgart,3,3,1
77464,2026-02-28T14:30:00Z,2025,24,6,Bayer 04 Leverkusen,81,1. FSV Mainz 05,1,1,1
77468,2026-03-01T14:30:00Z,2025,24,16,VfB Stuttgart,131,VfL Wolfsburg,4,0,0
77472,2026-03-01T18:30:00Z,2025,24,100,Hamburger SV,1635,RB Leipzig,1,2,2
77470,2026-02-27T19:30:00Z,2025,24,95,FC Augsburg,65,1. FC Köln,2,0,0
